unicode_id,allograph_sign,allograph_form,allograph_ucun,signList_analogue
U+12444,DIŠ,USSU,𒑄,LAK820^d [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK834^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK854^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY276 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL390 [Old Babylonian (~2000–1600 BCE) | School texts]; HZL356 [Hittite period (~1650–1180 BCE) | Hittite]; MZL748 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP005 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA480 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA242 [Standard Babylonian (any period) | Akkadian syllabary]
U+12376,|DUB×LAGAB|,|DUB.LAGAB|,𒁾𒆸,MZL243 [Standard Babylonian (any period) | Akkado-Babylonian]
U+120A0,|EŠ₂.SUD.NUN.EŠ₂.TU|,EŠ₂,𒂠,LAK794 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY291 [Standard Babylonian (any period) | Akkadian syllabary]; BAU386a [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES392 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL323 [Gudea period (~2100 BCE) | Lagash / Girsu]; PTACE325 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP256 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+120A5,|EZEN×BAD|,|EZEN×AN|,𒂥,LAK613 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ELLES304 [Early Dynastic (~2900–2340 BCE) | Ebla]; PTACE264 [Early Dynastic (~2900–2340 BCE) | Ebla]; ASY114 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL153 [Old Babylonian (~2000–1600 BCE) | School texts]; GCSL262 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL114 [Hittite period (~1650–1180 BCE) | Hittite]; KWU837 [Ur III (~2112–2004 BCE) | Administrative]; MZL275 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE263 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP286 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA152_8 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12504,|EZEN×DUN₃@g@g|,|LAK617×DUN₃@g@g|,𒔄,LAK622 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; BAU303 [Early Dynastic (~2900–2340 BCE) | Lagash]
U+12377,|EZEN×LA|,|EZEN×GUD|,𒍷,ABZL155 [Old Babylonian (~2000–1600 BCE) | School texts]; MZL278 [Standard Babylonian (any period) | Akkado-Babylonian]; LAK615 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL154 [Old Babylonian (~2000–1600 BCE) | School texts]; KWU839 [Ur III (~2112–2004 BCE) | Administrative]; MZL274 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP288 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA152_9 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12506,|EZEN×LA|,|LAK617×LA|,𒔆,LAK621 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; BAU305 [Early Dynastic (~2900–2340 BCE) | Lagash]; RSP288^a [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; LAK615 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL154 [Old Babylonian (~2000–1600 BCE) | School texts]; KWU839 [Ur III (~2112–2004 BCE) | Administrative]; MZL274 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP288 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA152_9 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12587 [unverified],F₃,F₃@c,𒖇,LAK852^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; RSP033 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; LAK852^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; RSP020 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA545a [Standard Babylonian (any period) | Akkado-Babylonian]
U+12588 [unverified],F₃,F₃@c@v,𒖈,LAK852^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; RSP020 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA545a [Standard Babylonian (any period) | Akkado-Babylonian]
U+12589 [unverified],F₄,F₄@c,𒖉,LAK853^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; RSP026 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; LAK853^b [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; RSP004 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
