unicode_id,allograph_sign,allograph_form,allograph_ucun,signList_analogue
U+12015,AB@g,AB,𒀕,LAK536 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY093 [Standard Babylonian (any period) | Akkadian syllabary]; BAU333 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES285 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL251 [Gudea period (~2100 BCE) | Lagash / Girsu]; PTACE240 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP223 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; LAK537 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL129 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU334 [Early Dynastic (~2900–2340 BCE) | Lagash]; BAU335 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES286 [Early Dynastic (~2900–2340 BCE) | Ebla]; HZL111 [Hittite period (~1650–1180 BCE) | Hittite]; KWU826 [Ur III (~2112–2004 BCE) | Administrative]; MZL232 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP224 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA195 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12015,AB@g,MURUB₄,𒀕,ASY189 [Standard Babylonian (any period) | Akkadian syllabary]; LAK537 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ABZL129 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU334 [Early Dynastic (~2900–2340 BCE) | Lagash]; BAU335 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES286 [Early Dynastic (~2900–2340 BCE) | Ebla]; HZL111 [Hittite period (~1650–1180 BCE) | Hittite]; KWU826 [Ur III (~2112–2004 BCE) | Administrative]; MZL232 [Standard Babylonian (any period) | Akkado-Babylonian]; RSP224 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA195 [Standard Babylonian (any period) | Akkado-Babylonian]
,|AB₂.KU|,|AB₂×KU|,𒀖𒆪,RSP160 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
,|AB₂.ŠA₃|,LAK386,𒀖𒊮,LAK386 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; LAK404 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; GCSL205 [Gudea period (~2100 BCE) | Lagash / Girsu]; RSP161 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+12017,|AB₂×BALAG|,|AB₂×DUB₂|,𒀗,MZL676 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA422 [Standard Babylonian (any period) | Akkado-Babylonian]
U+12018,|AB₂×GAN₂@t|,|AB₂×TAK₄|,𒀘,LAK406 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY245 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL354 [Old Babylonian (~2000–1600 BCE) | School texts]; MZL674 [Standard Babylonian (any period) | Akkado-Babylonian]; SLLHA423 [Standard Babylonian (any period) | Akkado-Babylonian]
U+1202B,AMAR,|AMAR×PAP|,𒀫,LAK267 [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]; ASY255 [Standard Babylonian (any period) | Akkadian syllabary]; ABZL367 [Old Babylonian (~2000–1600 BCE) | School texts]; BAU146 [Early Dynastic (~2900–2340 BCE) | Lagash]; ELLES152 [Early Dynastic (~2900–2340 BCE) | Ebla]; GCSL120 [Gudea period (~2100 BCE) | Lagash / Girsu]; HZL155 [Hittite period (~1650–1180 BCE) | Hittite]; KWU571 [Ur III (~2112–2004 BCE) | Administrative]; MZL695 [Standard Babylonian (any period) | Akkado-Babylonian]; PTACE128 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP110 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]; SLLHA437 [Standard Babylonian (any period) | Akkado-Babylonian]; SYA223 [Standard Babylonian (any period) | Akkadian syllabary]
,|AMAR.AMAR|,|AMAR&AMAR|,𒀫𒀫,BAU146b [Early Dynastic (~2900–2340 BCE) | Lagash]
,|AN.AŠ.AN|,|AN.AN|,𒀭𒀸𒀭,
,|AN.AŠ.AN|,|AN&AŠ&AN|,𒀭𒀸𒀭,LAK009^a [Uruk IV–III (~3400–3000 BCE) | Archaic / Uruk]
