unicode_id,allograph_ucun,component_position,allograph_sign,allograph_form,allograph_type,compound_form,allographCompound_cun,allographCompound_useq,unicodeTrLit,syllabarySign,PhoneticsVersion,signList_analogue
U+120FB,𒃻,5,|A.TU.GABA.LIŠ|,|A.TU.GABA.LIŠ.GAR|,Type_2,|A.TU.GABA.LIŠ.GAR|,𒀀𒌅𒃮𒇺𒃻,U+12000; U+12305; U+120EE; U+121FA; U+120FB,gar,GAR,GA4 | GAR | GARA | GARAK5 | INDA3 | INTA3 | KAR5 | KUX(GAR) | MAR3 | MENARI | MU8 | NI3 | NIG2 | NIGIX(GAR) | NIK2 | NIM5 | NIN6 | NINDA | NINDAN | NINNI3 | NIQ2 | NIQIX(GAR) | NITA4 | NIĜ2 | QAR3 | QARA3 | SA15 | ga4 | gar | gara | garak5 | inda3 | inta3 | kar5 | kux(GAR) | mar3 | menari | mu8 | ni3 | nig2 | nigix(GAR) | nik2 | nim5 | nin6 | ninda | nindan | ninni3 | niq2 | niqix(GAR) | nita4 | niĝ2 | qar3 | qara3 | sa15 | ĜAR | ĝar | ŠA2 | ŠIKIN | ŠU7 | ša2 | šikin | šu7,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+12000,𒀀,1,|A.TU.GABA.LIŠ|,|A.TU.GABA.SIG.GAR|,Type_2,|A.TU.GABA.SIG.GAR|,𒀀𒌅𒃮𒋝𒃻,U+12000; U+12305; U+120EE; U+122DD; U+120FB,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+12305,𒌅,2,|A.TU.GABA.LIŠ|,|A.TU.GABA.SIG.GAR|,Type_2,|A.TU.GABA.SIG.GAR|,𒀀𒌅𒃮𒋝𒃻,U+12000; U+12305; U+120EE; U+122DD; U+120FB,tu,TU,DU2 | DUD2 | DUR11 | HU2 | HUDUŠ | NAMŠEŠE | TU | TUD | TUM12 | TUR5 | du2 | dud2 | dur11 | hu2 | huduš | namšeše | tu | tud | tum12 | tur5 | ŢU2 | ţu2,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+120EE,𒃮,3,|A.TU.GABA.LIŠ|,|A.TU.GABA.SIG.GAR|,Type_2,|A.TU.GABA.SIG.GAR|,𒀀𒌅𒃮𒋝𒃻,U+12000; U+12305; U+120EE; U+122DD; U+120FB,gaba,GABA,DU8 | DUDDA | DUH | GA15 | GAB | GABA | GAP | IRTU | PITRU | QAB | QAP | TAH2 | TU24 | TUH | TUHU | du8 | dudda | duh | ga15 | gab | gaba | gap | irtu | pitru | qab | qap | tah2 | tu24 | tuh | tuhu | ŢAH2 | ŢU5 | ŢUH | ţah2 | ţu5 | ţuh,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+122DD,𒋝,4,|A.TU.GABA.LIŠ|,|A.TU.GABA.SIG.GAR|,Type_2,|A.TU.GABA.SIG.GAR|,𒀀𒌅𒃮𒋝𒃻,U+12000; U+12305; U+120EE; U+122DD; U+120FB,sig,SIG,BIG | BIK | EPIG | IPIG | PIK | PIQ | SE11 | SEG | SI11 | SIG | SIGA | SIK | SIQ | ZIG2 | ZIK2 | ZIQ2 | big | bik | epig | ipig | pik | piq | se11 | seg | si11 | sig | siga | sik | siq | zig2 | zik2 | ziq2 | ŚE2 | ŚI3 | śe2 | śi3 | ŠAG6 | ŠAK6 | ŠEX(SIG) | ŠEĜ | ŠI3 | ŠIG | ŠIK | ŠIQ | šag6 | šak6 | šex(SIG) | šeĝ | ši3 | šig | šik | šiq,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+120FB,𒃻,5,|A.TU.GABA.LIŠ|,|A.TU.GABA.SIG.GAR|,Type_2,|A.TU.GABA.SIG.GAR|,𒀀𒌅𒃮𒋝𒃻,U+12000; U+12305; U+120EE; U+122DD; U+120FB,gar,GAR,GA4 | GAR | GARA | GARAK5 | INDA3 | INTA3 | KAR5 | KUX(GAR) | MAR3 | MENARI | MU8 | NI3 | NIG2 | NIGIX(GAR) | NIK2 | NIM5 | NIN6 | NINDA | NINDAN | NINNI3 | NIQ2 | NIQIX(GAR) | NITA4 | NIĜ2 | QAR3 | QARA3 | SA15 | ga4 | gar | gara | garak5 | inda3 | inta3 | kar5 | kux(GAR) | mar3 | menari | mu8 | ni3 | nig2 | nigix(GAR) | nik2 | nim5 | nin6 | ninda | nindan | ninni3 | niq2 | niqix(GAR) | nita4 | niĝ2 | qar3 | qara3 | sa15 | ĜAR | ĝar | ŠA2 | ŠIKIN | ŠU7 | ša2 | šikin | šu7,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+12000,𒀀,1,|A.TU.GABA.LIŠ|,|A.TU.NUN&NUN|,Type_2,|A.TU.NUN&NUN|,𒀀𒌅𒉪,U+12000; U+12305; U+1226A,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+12305,𒌅,2,|A.TU.GABA.LIŠ|,|A.TU.NUN&NUN|,Type_2,|A.TU.NUN&NUN|,𒀀𒌅𒉪,U+12000; U+12305; U+1226A,tu,TU,DU2 | DUD2 | DUR11 | HU2 | HUDUŠ | NAMŠEŠE | TU | TUD | TUM12 | TUR5 | du2 | dud2 | dur11 | hu2 | huduš | namšeše | tu | tud | tum12 | tur5 | ŢU2 | ţu2,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+1226A,𒉪,3,|A.TU.GABA.LIŠ|,|A.TU.NUN&NUN|,Type_2,|A.TU.NUN&NUN|,𒀀𒌅𒉪,U+12000; U+12305; U+1226A,,,,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
U+12000,𒀀,1,|A.TU.GABA.LIŠ|,|A.TU.NUN&NUN.GABA.LIŠ|,Type_2,|A.TU.NUN&NUN.GABA.LIŠ|,𒀀𒌅𒉪𒃮𒇺,U+12000; U+12305; U+1226A; U+120EE; U+121FA,a,A,'U4 | 'u4 | A | AIA2 | AYA2 | BARX(A) | BUNIĜX(A) | BURX(A) | DUR5 | DURU5 | E4 | EA | EBIR3 | EMX(A) | EPIR3 | EŠ10 | IA10 | ID5 | ME5 | MU14 | SEDX(A) | YA10 | a | aia2 | aya2 | barx(A) | buniĝx(A) | burx(A) | dur5 | duru5 | e4 | ea | ebir3 | emx(A) | epir3 | eš10 | ia10 | id5 | me5 | mu14 | sedx(A) | ya10 | ĜA10 | ĝa10 | ŠEGX(A) | šegx(A) | ŢUR5 | ţur5,ELLES123 [Early Dynastic (~2900–2340 BCE) | Ebla]; RSP055 [Early Dynastic (~2900–2340 BCE) | Presargonic Lagash]
