unicode_id,sign_grapheme,unicodeTrLit,syllabarySign,PhoneticsVersion
U+1201B,𒀛,ab₂ × tak₄,AB2×TAK4,AB2×TAK4 | GIRX(|AB2×TAK4|) | KIRX(|AB2×TAK4|) | LIBIŠX(|AB2×TAK4|) | UB5 | UBA5 | girx(|AB2×TAK4|) | kirx(|AB2×TAK4|) | libišx(|AB2×TAK4|) | ub5 | uba5 | ŠAGX(|AB2×TAK4|) | ŠEM6 | šagx(|AB2×TAK4|) | šem6
U+1201C,𒀜,ad,AD,AB3 | ABA3 | AD | ADA | AP3 | AT | AŢ | ab3 | aba3 | ad | ada | ap3 | at | aţ
U+1201D,𒀝,ak,AK,A5 | AG | AK | AKA | AKIX(AK) | AQ | AQA | AĜ | KE3 | KI3 | KID3 | ME6 | NA3 | RA6 | a5 | ag | ak | aka | akix(AK) | aq | aqa | aĝ | ke3 | ki3 | kid3 | me6 | na3 | ra6 | ŠA5 | ša5
U+1201E,𒀞,ak × erin₂,AK×ERIN2,AK×ERIN2 | ME3 | me3
U+1201F,𒀟,ak × shita + gish,AK×ŠITA+GIŠ,AK×ŠITA+GIŠ | ME11 | me11 | AK×ŠITAxGIŠ
U+12020,𒀠,al,AL,AL | ALA3 | IL10 | MAH2 | MAHA2 | al | ala3 | il10 | mah2 | maha2
U+12021,𒀡,al × al,AL×AL,AL×AL | BAL3 | bal3
U+12022,𒀢,al × dim₂,AL×DIM2,AL×DIM2 | LIDIM | lidim
U+12023,𒀣,al × gish,AL×GIŠ,AL×GIŠ | GIŠBAR | GIŠMAŠ | gišbar | gišmaš | ĜEŠMAŠ | ĝešmaš
U+12024,𒀤,al × ha,AL×HA,AL×HA | HIBIRA | hibira
U+12025,𒀥,al × kad₃,AL×KAD3,AL×KAD3 | DUBAL | dubal
U+12026,𒀦,al × ki,AL×KI,AL×KI | BAL4 | DUBAL2 | bal4 | dubal2
U+12027,𒀧,al × she,AL×ŠE,AL×ŠE | IL6 | il6
U+12029,𒀩,alan,ALAN,AL2 | ALAG | ALALA | ALAM | ALAN | ALAĜ | BELILI | KAŠŠEBA2 | KAŠŠEBI2 | al2 | alag | alala | alam | alan | alaĝ | belili | kaššeba2 | kaššebi2
U+1202A,𒀪,aleph,ALEPH,'A | 'E | 'I | 'U | 'a | 'e | 'i | 'u | A' | AH4 | ALEPH | E' | EH2 | I' | IH2 | U' | UH5 | UMUN4 | a' | ah4 | e' | eh2 | i' | ih2 | u' | uh5 | umun4
U+1202B,𒀫,amar,AMAR,AMAR | MAR2 | MARA2 | MARAD | SURX(AMAR) | ZUR | amar | mar2 | mara2 | marad | surx(AMAR) | zur | ŞAR2 | ŞUR | ŞURU | şar2 | şur | şuru
U+1202C,𒀬,amar × she,AMAR×ŠE,AMAR×ŠE | DISGUR | SISKUR | SIZKUR | SIŠKUR | disgur | siskur | sizkur | siškur
U+1202D,𒀭,an,AN,/DIMER/ | /dimer/ | A11 | AM6 | AN | ANA2 | ANU | D | DALHAMUNX(AN) | DIBUR | DIGIR | DIMER | DIMIR | DIMMER | DINER | DINGIR | DINGIRA | DINIR | DIR3 | DIĜIR | EL3 | EŠŠU2 | IL3 | ILA | ILI | ILU | LE4 | SA8 | USANX(AN) | ZA5 | a11 | am6 | an | ana2 | anu | d | dalhamunx(AN) | dibur | digir | dimer | dimir | dimmer | diner | dingir | dingira | dinir | dir3 | diĝir | el3 | eššu2 | il3 | ila | ili | ilu | le4 | sa8 | usanx(AN) | za5 | ŞA3 | şa3 | ŠUBUL | šubul
U+12032,𒀲,anshe,ANŠE,ANŠE | ANŠU | anše | anšu | ŠAKAN3 | šakan3
U+12033,𒀳,apin,APIN,ABSIN3 | ABŠIN3 | APIN | APINA | BIN | ENGAR | ENGARA | EREŠ4 | ERIŠ4 | PIN | UR11 | URU4 | UŠ8 | absin3 | abšin3 | apin | apina | bin | engar | engara | ereš4 | eriš4 | pin | ur11 | uru4 | uš8
