unicode_id,sign_grapheme,sign_trlitScien,sign_phonetic,sign_translation,sign_type,is_compound,component_position,word_id,confidence,source,artifact_id,corpus_id,genre_name,provenance,modern,archaeological_context,period_index,period_dates,languages,is_school_text,genre_uncertain,period_uncertain,provenience_uncertain
U+12197,𒆗,KAL,KAL,,LOGO,SIMPLE,,P229166_58,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_59,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+122D7,𒋗,ŠU,šu,,SYLL,SIMPLE,,P229166_60,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_62,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12146,𒅆,IGI,ši,,SYLL,SIMPLE,,P229166_63,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12145,𒅅,IG,ig,,SYLL,SIMPLE,,P229166_63,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1207A,𒁺,DU,du,,SYLL,SIMPLE,,P229166_63,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_65,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12362,𒍢,ZE₂,zi2,,SYLL,SIMPLE,,P229166_66,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12155,𒅕,IR,ir,,SYLL,SIMPLE,,P229166_66,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12308,𒌈,TUM,dum,,SYLL,SIMPLE,,P229166_66,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_67,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1204D,𒁍,BU,BU,,LOGO,SIMPLE,,P229166_68,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1221D,𒈝,LUM,lum,,SYLL,SIMPLE,,P229166_68,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_70,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12100,𒄀,GI,gi,,SYLL,SIMPLE,,P229166_71,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12220,𒈠,MA,ma,,SYLL,SIMPLE,,P229166_71,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1221D,𒈝,LUM,lum,,SYLL,SIMPLE,,P229166_71,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12038,𒀸,AŠ,dili,,SYLL,SIMPLE,,P229166_74,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1204D,𒁍,BU,bu,,SYLL,SIMPLE,,P229166_74,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+1202D,𒀭,AN,an,,SYLL,SIMPLE,,P229166_77,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+122EB,𒋫,TA,ta,,SYLL,SIMPLE,,P229166_77,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12226,𒈦,MAŠ,maš,,SYLL,SIMPLE,,P229166_80,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12226,𒈦,MAŠ,maš,,SYLL,SIMPLE,,P229166_83,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+120F5,𒃵,GAM,gurum,,SYLL,SIMPLE,,P229166_83,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12351,𒍑,UŠ,uš,,SYLL,SIMPLE,,P229166_86,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12111,𒄑,GIŠ,geš,,SYLL,SIMPLE,,P229166_88,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+12295,𒊕,SAG,sag,,SYLL,SIMPLE,,P229166_89,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
U+120A1,𒂡,EZEN,EZEN,,LOGO,SIMPLE,,P229166_89,attested,,P229166,,Business / Contracts,Nippur,Nuffar,Nippur,Old Babylonian,ca. 1900-1600 BC,Sumerian,1,0,0,0
